"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
419332,"Toussaint",326802606,326889873,"http://en.wikipedia.org/w/index.php?diff=326889873&oldid=326802606","regular",3,3,"2009-11-20T07:30:10Z","/* 2010 presidential candidate */",21940341,"Gilbert Teodoro"
419333,"71.192.40.198",325934313,326873345,"http://en.wikipedia.org/w/index.php?diff=326873345&oldid=325934313","regular",3,3,"2009-11-20T04:43:28Z",,302189,"Electric piano"
419334,"203.109.251.24",325692823,326826677,"http://en.wikipedia.org/w/index.php?diff=326826677&oldid=325692823","regular",12,21,"2009-11-19T23:30:16Z","/* Cultural references */",1567599,"Appletini"
419337,"70.251.101.157",290321739,326879906,"http://en.wikipedia.org/w/index.php?diff=326879906&oldid=290321739","regular",3,3,"2009-11-20T05:40:00Z",,10784313,"Southern California Regional Occupational Center"
419338,"194.187.135.138",318958475,326787948,"http://en.wikipedia.org/w/index.php?diff=326787948&oldid=318958475","regular",7,9,"2009-11-19T19:58:35Z",,2570741,"Yaqubi"
419339,"Rich Farmbrough",326427325,326914733,"http://en.wikipedia.org/w/index.php?diff=326914733&oldid=326427325","regular",3,3,"2009-11-20T11:56:41Z","GF using [[Project:AutoWikiBrowser|AWB]]",47610,"Great Belt Fixed Link"
419340,"68.84.48.132",325792568,326855509,"http://en.wikipedia.org/w/index.php?diff=326855509&oldid=325792568","regular",3,3,"2009-11-20T02:36:35Z","/* Personnel */",680495,"Vol. 3: (The Subliminal Verses)"
419361,"71.93.174.4",314004966,326882329,"http://en.wikipedia.org/w/index.php?diff=326882329&oldid=314004966","regular",3,3,"2009-11-20T06:06:27Z",,1594076,"Lindsey Hunter"
419362,"Rich jj",325084271,326738256,"http://en.wikipedia.org/w/index.php?diff=326738256&oldid=325084271","regular",3,3,"2009-11-19T14:50:33Z","/* Artists of the East Side Gallery */ wikified numbered list",955688,"East Side Gallery"
419363,"Aldis90",326830134,326830190,"http://en.wikipedia.org/w/index.php?diff=326830190&oldid=326830134","regular",3,3,"2009-11-19T23:50:31Z","/* Reference */",22204651,"Oerlikon Millennium 35 mm Naval Revolver Gun System"
419364,"202.86.175.149",326927055,326927319,"http://en.wikipedia.org/w/index.php?diff=326927319&oldid=326927055","regular",3,3,"2009-11-20T13:59:43Z","/* Current squad */",1268593,"Macau national football team"
419366,"Darth Ag.Ent",326839082,326840081,"http://en.wikipedia.org/w/index.php?diff=326840081&oldid=326839082","regular",3,3,"2009-11-20T00:52:50Z","family from Sereno & Larsson + species",25139548,"Laganosuchus"
419367,"MornMore",74337104,326902038,"http://en.wikipedia.org/w/index.php?diff=326902038&oldid=74337104","regular",3,3,"2009-11-20T09:53:27Z","put in current template:R from other capitalization - not a redirected template",866660,"Red Vs Blue"
419369,"24.72.205.53",323955378,326564045,"http://en.wikipedia.org/w/index.php?diff=326564045&oldid=323955378","vandalism",17,21,"2009-11-18T17:06:43Z",,50245,"Sugar beet"
419370,"Zscout370",325969963,326888449,"http://en.wikipedia.org/w/index.php?diff=326888449&oldid=325969963","regular",3,3,"2009-11-20T07:13:58Z","clean up, Replaced: Image: → File: (3), using [[Project:AutoWikiBrowser|AWB]]",21450879,"History of Rijeka"
419401,"Rlendog",326873982,326874852,"http://en.wikipedia.org/w/index.php?diff=326874852&oldid=326873982","regular",3,3,"2009-11-20T04:56:25Z","locations",19353562,"List of Oakland Athletics managers"
419402,"Scrolllock",326717845,326874669,"http://en.wikipedia.org/w/index.php?diff=326874669&oldid=326717845","regular",3,3,"2009-11-20T04:55:02Z",,13404,"Hong Kong"
419403,"82.110.217.76",326875516,326917149,"http://en.wikipedia.org/w/index.php?diff=326917149&oldid=326875516","vandalism",18,21,"2009-11-20T12:22:56Z",,22433,"Orangutan"
419404,"81.106.77.249",326745720,326842417,"http://en.wikipedia.org/w/index.php?diff=326842417&oldid=326745720","regular",3,3,"2009-11-20T01:08:25Z","/* Films whose actor/actress died before the release */",195642,"List of works published posthumously"
419405,"Staberinde",326897375,326898188,"http://en.wikipedia.org/w/index.php?diff=326898188&oldid=326897375","regular",3,3,"2009-11-20T09:12:14Z","some formating and few wikilinks",25142816,"András Visky"
419408,"Gunnala",326886640,326925829,"http://en.wikipedia.org/w/index.php?diff=326925829&oldid=326886640","regular",3,3,"2009-11-20T13:46:55Z","[[WP:UNDO|Undid]] revision 326886640 by [[Special:Contributions/59.92.65.184|59.92.65.184]] ([[User talk:59.92.65.184|talk]])",3887089,"Siddharth Narayan"
419409,"Ellistheman",324214465,326819779,"http://en.wikipedia.org/w/index.php?diff=326819779&oldid=324214465","vandalism",12,21,"2009-11-19T22:51:01Z","/* Episodes */",1063076,"Adventures in Odyssey"
419410,"Typ932",326776450,326802749,"http://en.wikipedia.org/w/index.php?diff=326802749&oldid=326776450","regular",3,3,"2009-11-19T21:20:16Z","Filling in 4 references using [[WP:REFLINKS|Reflinks]]",18271,"Lamborghini"
419431,"Dawnseeker2000",326739397,326739640,"http://en.wikipedia.org/w/index.php?diff=326739640&oldid=326739397","regular",3,3,"2009-11-19T15:00:07Z","Reverted to revision 326732281 by [[Special:Contributions/82.80.23.45|82.80.23.45]]. using [[WP:TWINKLE|TW]]",2712500,"Microsoft Office 2007"
419432,"88.17.193.248",323927269,326900241,"http://en.wikipedia.org/w/index.php?diff=326900241&oldid=323927269","regular",3,3,"2009-11-20T09:34:54Z","/* External links */",926027,"Ciutat de les Arts i les Ciències"
419433,"Parrot of Doom",326743968,326744508,"http://en.wikipedia.org/w/index.php?diff=326744508&oldid=326743968","regular",14,21,"2009-11-19T15:35:11Z","/* Jesuits */ ce",13159,"Gunpowder Plot"
419434,"Tovojolo",324728268,326810043,"http://en.wikipedia.org/w/index.php?diff=326810043&oldid=324728268","regular",3,3,"2009-11-19T22:00:37Z","Sex",7027786,"Live and Let Die (novel)"
419435,"Weatherstar4000",326820017,326827125,"http://en.wikipedia.org/w/index.php?diff=326827125&oldid=326820017","regular",3,3,"2009-11-19T23:32:59Z","[[WP:UNDO|Undid]] revision 326820017 by [[Special:Contributions/99.28.218.173|99.28.218.173]] ([[User talk:99.28.218.173|talk]])",275623,"Severe thunderstorm warning"
419436,"75.79.173.4",326815217,326815996,"http://en.wikipedia.org/w/index.php?diff=326815996&oldid=326815217","regular",3,3,"2009-11-19T22:31:54Z",,391110,"Javier Solana"
419439,"Borsoka",295993208,326797588,"http://en.wikipedia.org/w/index.php?diff=326797588&oldid=295993208","regular",3,3,"2009-11-19T20:50:31Z","+wikilink to the title gyula",15112474,"Kurszán"
419440,"Zscout370",326737755,326889462,"http://en.wikipedia.org/w/index.php?diff=326889462&oldid=326737755","regular",3,3,"2009-11-20T07:25:14Z","clean up, Replaced: Image: → File: (27), using [[Project:AutoWikiBrowser|AWB]]",12248405,"Croatian art"
419501,"208.145.126.6",326884367,326885289,"http://en.wikipedia.org/w/index.php?diff=326885289&oldid=326884367","regular",3,3,"2009-11-20T06:38:18Z",,2859370,"Travis Schuldt"
419502,"86.42.235.240",326927992,326928262,"http://en.wikipedia.org/w/index.php?diff=326928262&oldid=326927992","vandalism",9,9,"2009-11-20T14:06:57Z",,2540476,"Kevin Kilbane"
419504,"Haaninjo",313082299,326891116,"http://en.wikipedia.org/w/index.php?diff=326891116&oldid=313082299","regular",3,3,"2009-11-20T07:46:20Z","spelling",7028599,"Controller General of Defence Accounts"
419505,"Rich Farmbrough",326796692,326797667,"http://en.wikipedia.org/w/index.php?diff=326797667&oldid=326796692","regular",3,3,"2009-11-19T20:50:55Z","Copyedit. Date formats",25137067,"David Pollet"
419506,"SchuminWeb",322025480,326793451,"http://en.wikipedia.org/w/index.php?diff=326793451&oldid=322025480","regular",3,3,"2009-11-19T20:27:51Z","Removing backlinks to Collectors Choice Music that has been speedily deleted per ([[WP:CSD#A7|CSD A7]]);  using [[WP:TWINKLE|TW]]",20381076,"String Along"
419507,"Wedg",321995029,326912997,"http://en.wikipedia.org/w/index.php?diff=326912997&oldid=321995029","regular",8,9,"2009-11-20T11:40:23Z",,13488703,"Edith Johnson"
419508,"190.154.207.88",326531766,326819978,"http://en.wikipedia.org/w/index.php?diff=326819978&oldid=326531766","regular",3,3,"2009-11-19T22:52:05Z","/* 2006&ndash;present */",308851,"Sarah Brightman"
419510,"Off2riorob",326796272,326796574,"http://en.wikipedia.org/w/index.php?diff=326796574&oldid=326796272","regular",3,3,"2009-11-19T20:45:08Z","link",8643789,"List of British Jewish politicians"
419541,"69.38.208.210",326638644,326819020,"http://en.wikipedia.org/w/index.php?diff=326819020&oldid=326638644","regular",3,3,"2009-11-19T22:47:29Z","Removed graffiti in Economy section",107341,"San Leandro, California"
419542,"Bobak",319318198,326887161,"http://en.wikipedia.org/w/index.php?diff=326887161&oldid=319318198","regular",3,3,"2009-11-20T07:00:45Z","image",120570,"Le Center, Minnesota"
419543,"Resbusha",324631669,326809068,"http://en.wikipedia.org/w/index.php?diff=326809068&oldid=324631669","regular",3,3,"2009-11-19T21:55:52Z","/* Setlist */",4093421,"Whos That Girl World Tour"
419544,"Biker Biker",326924479,326924553,"http://en.wikipedia.org/w/index.php?diff=326924553&oldid=326924479","regular",3,3,"2009-11-20T13:35:23Z","Reverted 1 edit by [[Special:Contributions/204.39.71.121|204.39.71.121]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Biker Biker|Biker Biker]]. ([[WP:TW|TW]])",23318,"Phosphorus"
419546,"BrownHairedGirl",326856443,326859478,"http://en.wikipedia.org/w/index.php?diff=326859478&oldid=326856443","regular",3,3,"2009-11-20T03:01:35Z","Quick-adding category [[:Category:Politics of Wigan|Politics of Wigan]] (using [[WP:HOTCAT|HotCat]])",3284351,"Wigan local elections"
419548,"Tetromino",326794209,326795408,"http://en.wikipedia.org/w/index.php?diff=326795408&oldid=326794209","regular",3,3,"2009-11-19T20:38:49Z",,25136945,"David K. Barton"
419549,"Leonard G.",326859635,326859812,"http://en.wikipedia.org/w/index.php?diff=326859812&oldid=326859635","regular",3,3,"2009-11-20T03:04:25Z","clean up redundancy",23322,"Protactinium"
419550,"Watermelon Jell-O Pudding",326925372,326925462,"http://en.wikipedia.org/w/index.php?diff=326925462&oldid=326925372","regular",12,21,"2009-11-20T13:43:44Z",,314405,"Yeah Yeah Yeahs"
419701,"EchetusXe",168554071,326826741,"http://en.wikipedia.org/w/index.php?diff=326826741&oldid=168554071","regular",3,3,"2009-11-19T23:30:34Z","[[WP:AES|←]]Redirected page to [[Paul Donnelly (English footballer)]]",14021297,"Paul Donnelly(defender)"
419702,"122.173.181.218",326897232,326923343,"http://en.wikipedia.org/w/index.php?diff=326923343&oldid=326897232","regular",3,3,"2009-11-20T13:24:59Z","WikiCleaner 0.98 - Repairing link to disambiguation page - You can help!",151800,"List of mobile network operators"
419703,"189.42.183.58",326765524,326789522,"http://en.wikipedia.org/w/index.php?diff=326789522&oldid=326765524","regular",3,3,"2009-11-19T20:07:25Z","/* Controversy */",22407860,"UFC 104"
419704,"Jimbo online",326835571,326842385,"http://en.wikipedia.org/w/index.php?diff=326842385&oldid=326835571","regular",3,3,"2009-11-20T01:08:17Z","Expanded",3468125,"Tamsin Egerton"
419706,"203.200.20.98",326910875,326910976,"http://en.wikipedia.org/w/index.php?diff=326910976&oldid=326910875","regular",7,9,"2009-11-20T11:20:30Z","/* Demographics */",7023187,"Ghataprabha"
419707,"Narthring",326821566,326839652,"http://en.wikipedia.org/w/index.php?diff=326839652&oldid=326821566","regular",3,3,"2009-11-20T00:49:58Z","reverted vandalism",3222203,"Dustin Pedroia"
419709,"66.237.227.195",326253136,326557043,"http://en.wikipedia.org/w/index.php?diff=326557043&oldid=326253136","regular",3,3,"2009-11-18T16:24:56Z","/* Back When I Knew It All */",1974368,"Montgomery Gentry"
419710,"69.243.155.206",326821778,326840927,"http://en.wikipedia.org/w/index.php?diff=326840927&oldid=326821778","vandalism",20,21,"2009-11-20T00:58:43Z","/* Music */",11447961,"Before I Self Destruct"
419741,"121.169.223.143",326536398,326925402,"http://en.wikipedia.org/w/index.php?diff=326925402&oldid=326536398","regular",3,3,"2009-11-20T13:43:12Z",,495011,"Namie Amuro"
419742,"206.80.199.222",326575957,326791917,"http://en.wikipedia.org/w/index.php?diff=326791917&oldid=326575957","vandalism",9,9,"2009-11-19T20:20:08Z",,142550,"Yo-Yo Ma"
419744,"Daymeeee",326847741,326848059,"http://en.wikipedia.org/w/index.php?diff=326848059&oldid=326847741","regular",3,3,"2009-11-20T01:44:45Z",,1700727,"Alyson Court"
419745,"99.237.230.54",317460317,326866215,"http://en.wikipedia.org/w/index.php?diff=326866215&oldid=317460317","vandalism",9,9,"2009-11-20T03:48:28Z",,1008278,"Solar minimum"
419746,"129.67.184.43",326908674,326908706,"http://en.wikipedia.org/w/index.php?diff=326908706&oldid=326908674","regular",14,21,"2009-11-20T10:59:41Z","[[WP:UNDO|Undid]] revision 325912997 by [[Special:Contributions/98.207.233.213|98.207.233.213]] ([[User talk:98.207.233.213|talk]])",33209,"West Bank"
419748,"94.2.186.205",326801986,326802063,"http://en.wikipedia.org/w/index.php?diff=326802063&oldid=326801986","regular",3,3,"2009-11-19T21:16:09Z","/* Format and hosts */",505243,"GamesMaster"
419749,"Richard Harvey",326898674,326899933,"http://en.wikipedia.org/w/index.php?diff=326899933&oldid=326898674","regular",3,3,"2009-11-20T09:31:26Z","reword to clear brackets",3358532,"Battle of Magdala"
419750,"75.119.4.178",326851018,326851140,"http://en.wikipedia.org/w/index.php?diff=326851140&oldid=326851018","regular",3,3,"2009-11-20T02:05:29Z",,3760,"Bauxite"
419771,"85.222.87.65",325938593,326789694,"http://en.wikipedia.org/w/index.php?diff=326789694&oldid=325938593","regular",7,9,"2009-11-19T20:08:23Z",,2430164,"Dorell Wright"
419772,"117.98.139.16",325719572,326891648,"http://en.wikipedia.org/w/index.php?diff=326891648&oldid=325719572","vandalism",9,9,"2009-11-20T07:53:17Z","/* 15th Lok Sabha */",606490,"Manmohan Singh"
419773,"Rich Farmbrough",326616727,326904873,"http://en.wikipedia.org/w/index.php?diff=326904873&oldid=326616727","regular",3,3,"2009-11-20T10:22:00Z","GF using [[Project:AutoWikiBrowser|AWB]]",3754388,"Singapore 2006"
419775,"82.21.36.64",326801980,326802937,"http://en.wikipedia.org/w/index.php?diff=326802937&oldid=326801980","vandalism",15,15,"2009-11-19T21:21:22Z",,183184,"Denton, Greater Manchester"
419776,"81.108.27.188",326838945,326854153,"http://en.wikipedia.org/w/index.php?diff=326854153&oldid=326838945","vandalism",19,21,"2009-11-20T02:27:03Z","/* International career */",1437022,"William Gallas"
419777,"63.210.44.15",326676835,326810526,"http://en.wikipedia.org/w/index.php?diff=326810526&oldid=326676835","regular",3,3,"2009-11-19T22:03:05Z","/* Nontraditional Students */",639821,"Columbia University School of General Studies"
419778,"67.250.56.104",326715620,326812740,"http://en.wikipedia.org/w/index.php?diff=326812740&oldid=326715620","vandalism",15,15,"2009-11-19T22:14:38Z","/* Achilles in the Trojan War */",305,"Achilles"
419780,"124.254.78.16",326915949,326916021,"http://en.wikipedia.org/w/index.php?diff=326916021&oldid=326915949","regular",3,3,"2009-11-20T12:09:54Z","/* History */",2873746,"Ellerslie Train Station"
419852,"Axbycz123",326561532,326562051,"http://en.wikipedia.org/w/index.php?diff=326562051&oldid=326561532","regular",3,3,"2009-11-18T16:55:12Z",,23913697,"John E. Morgan"
419853,"Rich Farmbrough",326592457,326905888,"http://en.wikipedia.org/w/index.php?diff=326905888&oldid=326592457","regular",3,3,"2009-11-20T10:32:07Z","/* Discography */GF using [[Project:AutoWikiBrowser|AWB]]",3173700,"The Music"
419855,"167.206.174.188",326929932,326930036,"http://en.wikipedia.org/w/index.php?diff=326930036&oldid=326929932","regular",3,3,"2009-11-20T14:21:16Z","/* Historical */",1336477,"King of Kings"
419856,"Absolon",326590143,326908185,"http://en.wikipedia.org/w/index.php?diff=326908185&oldid=326590143","regular",3,3,"2009-11-20T10:54:42Z","add game result",24549136,"2009–10 Savannah State Tigers womens basketball team"
419857,"Vmenkov",326850161,326850240,"http://en.wikipedia.org/w/index.php?diff=326850240&oldid=326850161","regular",3,3,"2009-11-20T01:59:11Z",,3969082,"La mian"
419858,"88.44.115.66",325055077,326784893,"http://en.wikipedia.org/w/index.php?diff=326784893&oldid=325055077","regular",3,3,"2009-11-19T19:41:10Z","I just saw the original hanging in the Uffizi--its back after restoration",7319227,"Madonna del cardellino"
419859,"Doorsfan2009",326799375,326799660,"http://en.wikipedia.org/w/index.php?diff=326799660&oldid=326799375","regular",3,3,"2009-11-19T21:02:11Z",,177667,"Iron Butterfly"
419860,"Zntrip",326857175,326857193,"http://en.wikipedia.org/w/index.php?diff=326857193&oldid=326857175","regular",3,3,"2009-11-20T02:47:08Z","Reverted edits by [[Special:Contributions/24.13.233.77|24.13.233.77]] to last revision by Zntrip ([[WP:HG|HG]])",62366,"Moa"
419881,"Pichpich",326813154,326813298,"http://en.wikipedia.org/w/index.php?diff=326813298&oldid=326813154","regular",3,3,"2009-11-19T22:17:25Z","fix cat",7268420,"The Sweetest Days (song)"
419883,"NovaSkola",314024207,326556655,"http://en.wikipedia.org/w/index.php?diff=326556655&oldid=314024207","regular",3,3,"2009-11-18T16:22:57Z",,23696842,"Azerbaijan Premier League (futsal)"
419884,"Generalboss3",326833715,326833770,"http://en.wikipedia.org/w/index.php?diff=326833770&oldid=326833715","regular",3,3,"2009-11-20T00:13:34Z","/* Taluks of Tumkur */",1684130,"Tumkur district"
419885,"Wikitza",325505412,326743868,"http://en.wikipedia.org/w/index.php?diff=326743868&oldid=325505412","regular",3,3,"2009-11-19T15:30:45Z",,2596893,"Portuguese Indian escudo"
419886,"BlackLollipop",326872777,326872840,"http://en.wikipedia.org/w/index.php?diff=326872840&oldid=326872777","regular",3,3,"2009-11-20T04:39:23Z","/* 2009-2010 TV Shows and New Album */",85226,"Cyndi Lauper"
419887,"212.219.175.8",316103508,326907051,"http://en.wikipedia.org/w/index.php?diff=326907051&oldid=316103508","vandalism",9,9,"2009-11-20T10:43:31Z",,148671,"Yousuf Karsh"
419888,"Zscout370",324944596,326886964,"http://en.wikipedia.org/w/index.php?diff=326886964&oldid=324944596","regular",3,3,"2009-11-20T06:59:03Z","clean up, Replaced: Image: → File:, using [[Project:AutoWikiBrowser|AWB]]",18222603,"Republic of Peščenica"
419889,"71.165.206.58",326809095,326809263,"http://en.wikipedia.org/w/index.php?diff=326809263&oldid=326809095","vandalism",36,38,"2009-11-19T21:56:49Z","/* 15 */",20901854,"Deaths in 2009"
419921,"Scrobin",325140535,326842865,"http://en.wikipedia.org/w/index.php?diff=326842865&oldid=325140535","regular",3,3,"2009-11-20T01:11:12Z","/* External links */",3622513,"Carol Downer"
419923,"Jweiss11",326896646,326896746,"http://en.wikipedia.org/w/index.php?diff=326896746&oldid=326896646","regular",3,3,"2009-11-20T08:55:31Z","| CurrentRecord =  | OverallRecord = 137–80–2 | BowlRecord    = 6-6",1244595,"Mike Bellotti"
419924,"Eagle4000",326853197,326853437,"http://en.wikipedia.org/w/index.php?diff=326853437&oldid=326853197","regular",14,19,"2009-11-20T02:22:09Z","/* Winners */ re-order",14386289,"Players Choice Award"
419925,"Ted87",326810774,326811080,"http://en.wikipedia.org/w/index.php?diff=326811080&oldid=326810774","regular",3,3,"2009-11-19T22:05:44Z","/* References */",24248993,"Louis Tom Dragna"
419927,"81.107.33.74",325632350,326886415,"http://en.wikipedia.org/w/index.php?diff=326886415&oldid=325632350","regular",3,3,"2009-11-20T06:53:30Z","/* Origin of St. Thomas Christians */ Add links",541298,"Syro-Malabar Catholic Church"
419928,"Starscream 09",326844160,326844382,"http://en.wikipedia.org/w/index.php?diff=326844382&oldid=326844160","regular",3,3,"2009-11-20T01:20:15Z",,1411603,"Love Is Worth it"
419929,"SusanLesch",326840611,326840987,"http://en.wikipedia.org/w/index.php?diff=326840987&oldid=326840611","vandalism",9,9,"2009-11-20T00:59:05Z","[[WP:UNDO|Undid]] rvv",102036,"Giorgio Vasari"
419930,"RobertG",326889055,326899023,"http://en.wikipedia.org/w/index.php?diff=326899023&oldid=326889055","regular",3,3,"2009-11-20T09:22:22Z","restore heading",415405,"Preity Zinta"
419951,"Rich Farmbrough",296950722,326800704,"http://en.wikipedia.org/w/index.php?diff=326800704&oldid=296950722","regular",3,3,"2009-11-19T21:08:23Z","Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]]",1053382,"Mark Pembridge"
419952,"Rich Farmbrough",324948586,326810188,"http://en.wikipedia.org/w/index.php?diff=326810188&oldid=324948586","regular",3,3,"2009-11-19T22:01:26Z","Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]]",3400017,"NOAAS Rainier (S 221)"
419953,"Salamurai",326808146,326808281,"http://en.wikipedia.org/w/index.php?diff=326808281&oldid=326808146","regular",3,3,"2009-11-19T21:51:37Z","revert",1141955,"Falkland Palace"
419955,"Victory93",326869614,326896254,"http://en.wikipedia.org/w/index.php?diff=326896254&oldid=326869614","regular",3,3,"2009-11-20T08:49:50Z",,23047813,"Halo: Reach"
419956,"Lkelly2477",325765634,326879300,"http://en.wikipedia.org/w/index.php?diff=326879300&oldid=325765634","regular",3,3,"2009-11-20T05:34:23Z",,147804,"Tempura"
419957,"Wave68",326882209,326902414,"http://en.wikipedia.org/w/index.php?diff=326902414&oldid=326882209","regular",3,3,"2009-11-20T09:58:01Z","/* Recent call-ups */",576328,"Portugal national football team"
419959,"Updatehelper",326441201,326817383,"http://en.wikipedia.org/w/index.php?diff=326817383&oldid=326441201","regular",12,21,"2009-11-19T22:38:58Z","/* Criticism */Original geocities.com/...  weblink is gone but has been mirrored & archived in october 2009. For any issue contact oocities AT googlemail DOT com using [[Project:AutoWikiBrowser|AWB]]",418732,"SeaWorld"
419960,"121.72.162.68",326714517,326881651,"http://en.wikipedia.org/w/index.php?diff=326881651&oldid=326714517","regular",3,3,"2009-11-20T05:58:36Z",,24511996,"Dave Witteveen"
420011,"LizardJr8",326836775,326836915,"http://en.wikipedia.org/w/index.php?diff=326836915&oldid=326836775","regular",3,3,"2009-11-20T00:34:50Z","Reverted 1 edit by [[Special:Contributions/71.28.53.53|71.28.53.53]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Wildhartlivie|Wildhartlivie]]. ([[WP:TW|TW]])",182532,"Alec Baldwin"
420012,"87.177.127.6",325970306,326559120,"http://en.wikipedia.org/w/index.php?diff=326559120&oldid=325970306","regular",3,3,"2009-11-18T16:37:31Z","/* References */",10152786,"Maniac (song)"
420013,"Nig4lyf",326800109,326800127,"http://en.wikipedia.org/w/index.php?diff=326800127&oldid=326800109","vandalism",12,18,"2009-11-19T21:04:59Z",,17188580,"List of Boys & Girls Clubs of America people"
420015,"Neelix",326783910,326784796,"http://en.wikipedia.org/w/index.php?diff=326784796&oldid=326783910","regular",3,3,"2009-11-19T19:40:36Z","Fixed dead external link",20860135,"Carabane"
420016,"67.184.55.129",326493400,326832052,"http://en.wikipedia.org/w/index.php?diff=326832052&oldid=326493400","regular",3,3,"2009-11-20T00:00:50Z",,241119,"University of Iowa"
420017,"69.14.141.174",326704600,326778217,"http://en.wikipedia.org/w/index.php?diff=326778217&oldid=326704600","vandalism",13,21,"2009-11-19T19:03:32Z",,107912,"Corona, California"
420018,"Sard112",325460979,326789545,"http://en.wikipedia.org/w/index.php?diff=326789545&oldid=325460979","regular",3,3,"2009-11-19T20:07:32Z",,21148262,"Phleng phuea chiwit"
420019,"Jmabel",326863712,326869699,"http://en.wikipedia.org/w/index.php?diff=326869699&oldid=326863712","regular",8,9,"2009-11-20T04:13:20Z","Bring over education section from es-wiki",73205,"Castile-La Mancha"
420051,"Rodhullandemu",326811153,326812147,"http://en.wikipedia.org/w/index.php?diff=326812147&oldid=326811153","regular",8,9,"2009-11-19T22:11:14Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/82.141.247.169|82.141.247.169]] ([[User talk:82.141.247.169|talk]]) to last version by Jusdafax",98356,"Tesco"
420052,"XLinkBot",326786551,326788822,"http://en.wikipedia.org/w/index.php?diff=326788822&oldid=326786551","regular",3,3,"2009-11-19T20:03:22Z","BOT--Reverting link addition(s) by [[:en:Special:Contributions/84.9.124.204|84.9.124.204]] to revision 323204312 (http://www.youtube.com/watch?v=677ZmPEFIXE&feature=related)",22897257,"Facility for Rare Isotope Beams"
420053,"Awadewit",326814928,326824520,"http://en.wikipedia.org/w/index.php?diff=326824520&oldid=326814928","regular",3,3,"2009-11-19T23:18:37Z","/* Death and legacy */ ce",654565,"William Longchamp"
420054,"Lord of the Pit",326785471,326785487,"http://en.wikipedia.org/w/index.php?diff=326785487&oldid=326785471","regular",3,3,"2009-11-19T19:44:32Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/74.114.172.80|74.114.172.80]] ([[User talk:74.114.172.80|talk]]) to last version by NorwegianBlue",237707,"Alexander Tilloch Galt"
420056,"Updatehelper",321521789,326796894,"http://en.wikipedia.org/w/index.php?diff=326796894&oldid=321521789","regular",7,9,"2009-11-19T20:46:46Z","/* External links */Original geocities.com/...  weblink is gone but has been mirrored & archived in october 2009. For any issue contact oocities AT googlemail DO using [[Project:AutoWikiBrowser|AWB]]",6482152,"2006–07 in Hong Kong football"
420057,"82.9.239.2",326910380,326910430,"http://en.wikipedia.org/w/index.php?diff=326910430&oldid=326910380","regular",3,3,"2009-11-20T11:15:48Z",,4082874,"Workplace bullying"
420058,"72.33.129.111",323782709,326823935,"http://en.wikipedia.org/w/index.php?diff=326823935&oldid=323782709","regular",3,3,"2009-11-19T23:15:36Z",,240105,"Room temperature"
420060,"86.41.66.243",326418832,326838700,"http://en.wikipedia.org/w/index.php?diff=326838700&oldid=326418832","regular",3,3,"2009-11-20T00:44:29Z","/* Julie Pinson (2004-2008) */",12320072,"Billie Reed"
420081,"Yorkshirian",321615050,326775610,"http://en.wikipedia.org/w/index.php?diff=326775610&oldid=321615050","regular",3,3,"2009-11-19T18:48:38Z","infobox",10469075,"Ramiro Garcés of Viguera"
420082,"Prolog",326833092,326875465,"http://en.wikipedia.org/w/index.php?diff=326875465&oldid=326833092","regular",7,9,"2009-11-20T05:01:27Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/112.202.80.37|112.202.80.37]] ([[User talk:112.202.80.37|talk]]) to last version by Prolog",24946523,"Charee Pineda"
420083,"Middayexpress",322721544,326881140,"http://en.wikipedia.org/w/index.php?diff=326881140&oldid=322721544","regular",3,3,"2009-11-20T05:52:54Z",,1553497,"Meerschaum"
420084,"HP1740-B",326901841,326931202,"http://en.wikipedia.org/w/index.php?diff=326931202&oldid=326901841","regular",3,3,"2009-11-20T14:30:15Z","/* The Netherlands */ Less complicated perhaps ...",1656551,"Dutch people"
420086,"Halawala",326818149,326818440,"http://en.wikipedia.org/w/index.php?diff=326818440&oldid=326818149","regular",3,3,"2009-11-19T22:44:28Z",,25138310,"Qatar Executive"
420088,"5 albert square",326787734,326799039,"http://en.wikipedia.org/w/index.php?diff=326799039&oldid=326787734","regular",3,3,"2009-11-19T20:58:39Z","Reverted [[WP:AGF|good faith]] edits by [[Special:Contributions/78.16.104.238|78.16.104.238]]; The Bill has been filmed in HD since its massive overhaul this year.. ([[WP:TW|TW]])",12319016,"The Bill"
420089,"Phoenix7777",326897583,326897829,"http://en.wikipedia.org/w/index.php?diff=326897829&oldid=326897583","regular",3,3,"2009-11-20T09:07:50Z","Moved [[University of Tokyo#Notable alumni and faculty members|Notable alumni and faculty members]] section.",166215,"University of Tokyo"
420090,"Epipelagic",256585555,326846204,"http://en.wikipedia.org/w/index.php?diff=326846204&oldid=256585555","regular",3,3,"2009-11-20T01:31:56Z","change tp",12265111,"Zara spook"
