editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,character_distribution,longest_Word,bad_words
8581,326491329,1.0675,0.0064,0.0824,0.0496,0.0522,24.183.53.166,328237534,120,0,0,1,0,0.002939954,29,0
23178,327317722,1.0741,0.064,0.1317,0.1032,0.115,Tsbshb,327621834,4,0,11,0,0,0.001067418,18,0
41531,329710002,1.0762,0.0207,0.0753,0.0466,0.0489,Microcell,329710062,35,0,151,0,0,0.75017035,10,0
14241,324650756,1.1238,0.0868,0.134,0.0886,0.0972,85.210.168.182,326737740,3,0,0,1,0,0.019464158,18,0
36883,327104849,1.1369,0.0333,0.0521,0.0538,0.0568,Pdfpdf,327120784,8,0,5,0,0,0.010268858,13,0
19259,326996170,1.141,0.0418,0.088,0.0613,0.0653,204.152.235.219,326998231,107,1,128,1,0.010362694,0.001567636,29,0
17587,271593559,1.1344,0.004,0.0246,0.0346,0.0358,Open2universe,327967049,26,0,0,0,0,0.006108422,17,0
32264,329650490,1.1404,0.0134,0.0414,0.1352,0.1563,61.16.160.82,329651016,18,0,27,1,0,0.43451428,42,0
28057,323613105,1.1036,0.0185,0.0656,0.0583,0.0619,Fruit.Smoothie,327064031,0,0,19,1,0,0,0,0
15281,317636634,1.1344,0.0176,0.027,0.0643,0.0687,Itsvishal,329924597,8,0,106,0,0,1.2076463,6,0
4500,329695457,1.1228,0.0286,0.0493,0.019,0.0194,Anypodetos,329912142,838,0,118,0,0.008333333,Infinity,48,0
17035,326785654,1.1098,0.1197,0.1808,0.1,0.111,Canysp,326785739,0,0,0,0,0,0,0,0
40534,299254160,1.1453,0.0357,0.0544,0.0862,0.0941,Rrius,326830282,15,0,22,0,0,Infinity,12,0
23448,328479102,1.0437,0.0371,0.0703,0.048,0.0504,Shannizi,328502405,0,0,139,0,0,0,0,0
17691,329892056,1.1456,0.1439,0.1927,0.0975,0.108,T1v37r,329892608,10,0,25,0,0,0.054366678,13,0
15525,327275970,1.0765,0.0604,0.1164,0.087,0.0953,70.249.160.112,327360034,5,1,17,1,0.00462963,0.3451337,50,0
2941,328647721,1.1029,0.0447,0.0964,0.0544,0.0575,98.151.33.187,328676159,2,0,0,1,0.014492754,0.19684274,17,0
9101,326804216,1.138,0.0423,0.1185,0.0889,0.0975,90.197.134.248,326804369,4,0,14,1,0,0.008052556,54,0
10202,329460076,1.1413,0.0621,0.1928,0.0683,0.0733,93.87.129.155,329460345,0,0,14,1,0,Infinity,18,0
15661,327659102,1.1504,0.0389,0.0465,0.0402,0.0418,Lime82,327728882,233,0,34,0,0,Infinity,77,0
28011,329068410,1.1313,0.0431,0.11,0.0871,0.0954,18.4.1.143,329080798,82,0,0,1,0.071428571,Infinity,9,0
24907,324885833,1.1352,0.019,0.042,0.0651,0.0696,173.73.75.73,327526918,19,1,10,1,0.010928962,2.96E-04,14,0
39033,324931181,1.1079,0.0245,0.0445,0.0666,0.0713,71.39.32.74,329637961,9,0,18,1,0.008130081,Infinity,15,0
7820,318938341,1.1215,0.0424,0.1225,0.1453,0.1699,98.16.112.254,327401418,1,0,19,1,0,Infinity,11,0
24248,308360358,1.1276,0.0637,0.0981,0.0848,0.0926,DoohanOK,327014854,0,0,0,0,0,0,0,0
38138,282501485,1.1394,0.0182,0.0286,0.0589,0.0626,Diberri,327038714,0,0,60,0,0,0,0,0
12031,329599353,1.0618,0.0312,0.0591,0.044,0.046,JimWae,329638859,2,0,153,0,0,0,0,0
13906,327575253,1.0531,0.0986,0.1377,0.1236,0.141,189.171.153.191,327575441,0,0,19,1,0,0,0,0
42587,327678012,1.1311,0.0436,0.0722,0.068,0.0729,Sodabottle,327679413,24,0,87,0,0,7.87E-04,67,0
26296,326958031,1.0792,0.0214,0.0516,0.0597,0.0634,201.228.197.80,327075744,35,1,20,1,0,Infinity,26,0
11881,328210900,1.1462,0.0378,0.0761,0.0791,0.0858,121.217.229.236,328210986,12,1,0,1,0,0.82290787,104,0
27344,327308799,1.0806,0.0646,0.1912,0.1302,0.1497,Ioannes Tzimiskes,327332308,2,0,13,1,0,Infinity,7,0
35100,328923375,1.1351,0.0228,0.0649,0.0744,0.0803,Rich Farmbrough,329775946,1,0,47,1,0.008547009,9.34E-07,23,0
26561,327878195,1.1253,0.0165,0.0453,0.0997,0.1108,PhilKnight,327929918,730,0,135,0,0.018348624,Infinity,15,0
36337,326093152,1.1361,0.0129,0.0408,0.0447,0.0468,128.214.83.21,327670457,9,0,96,1,0.006134969,3.99E-04,24,0
8377,329612232,1.1328,0.0567,0.1041,0.0906,0.0997,BilCat,329617848,4,0,106,0,0,Infinity,5,0
9854,326008785,1.1325,0.0049,0.0217,0.0407,0.0424,OtakuMan,327032479,36,0,14,0,0,Infinity,19,0
2317,328720136,1.1344,0.0434,0.1211,0.0765,0.0829,MisterWiki,329260977,2,0,23,0,0,Infinity,6,0
37132,327935052,1.1255,0.0278,0.0713,0.0884,0.097,Richhoncho,327935121,44,0,128,0,0,Infinity,16,0
33233,329115390,1.1288,0.035,0.0602,0.066,0.0707,Gump Stump,329117268,22,0,32,1,0,Infinity,26,0
36352,328026626,1.1259,0.0459,0.0985,0.0847,0.0925,Pepso2,328552110,1,0,0,0,0,1.08E-04,12,0
21590,298243819,1.1317,0.0172,0.0302,0.0767,0.0831,70.190.225.99,328076554,0,0,15,1,0,0,0,0
1845,329108280,1.1124,0.046,0.0804,0.089,0.0976,TwinsMetsFan,329185127,2,0,74,0,0,0.005020075,15,0
11678,329572233,1.0778,0.0419,0.0814,0.0729,0.0787,Cebartle,329573028,0,0,24,0,0,0,0,0
43328,327995566,1.054,0.0418,0.0675,0.0947,0.1045,RadioBroadcast,327995644,0,0,13,0,0.016129032,0.021079523,16,0
7839,328277329,1.0701,0.0236,0.067,0.0897,0.0985,Kidlittle,328837446,0,0,16,0,0,0,95,0
13171,326109906,1.1068,0.0605,0.1091,0.075,0.081,Malema125,327070011,60,0,0,0,0.031578947,Infinity,20,0
2651,328867960,1.1312,0.1164,0.1782,0.1457,0.1705,Jordanson,328869162,0,0,0,0,0,0.00641195,43,0
33213,326142240,1.1158,0.0333,0.0698,0.0525,0.0554,76.30.60.171,326862946,92,0,20,1,0,Infinity,58,0
10939,310872831,1.1362,0.0271,0.0486,0.062,0.066,Koavf,328401798,28,0,14,0,0,Infinity,22,0
17564,329198600,1.0793,0.0109,0.0284,0.0553,0.0585,173.24.86.127,329574000,18,1,0,1,0,Infinity,25,0
10340,327020216,1.1332,0.0275,0.0523,0.0845,0.0923,87.112.71.69,327020408,8,0,16,1,0,0.03777083,43,0
32261,297236132,1.1339,0.0148,0.0449,0.0726,0.0783,Mandarax,327236070,27,0,73,0,0,0.39774364,21,0
12329,328869554,1.1277,0.0318,0.0881,0.0695,0.0746,129.128.172.222,329154582,603,0,38,1,0.00591716,Infinity,91,0
22870,328429504,1.1382,0.0121,0.1036,0.1043,0.1164,59.178.206.62,328429608,1,0,14,1,0,4.92E-04,12,0
26647,328798809,1.1172,0.1516,0.2063,0.092,0.1013,Giuseppe86,328799538,0,0,111,0,0,0,0,0
42869,329213083,1.1274,0.0543,0.1135,0.0747,0.0807,Xeteli,329213908,5,0,0,0,0,Infinity,13,0
34806,328797548,1.1089,0.0283,0.0506,0.1091,0.1224,84.109.26.84,328802544,402,0,0,1,0,Infinity,40,0
28423,327808715,1.1735,0.0134,0.0298,0.0269,0.0276,76.214.142.98,328749860,2,0,37,1,0,4.11E-06,32,0
31322,327275559,1.0903,0.0617,0.1037,0.0706,0.0759,94.172.122.166,327276033,85,0,0,1,0,0,0,0
3679,328031342,1.1029,0.0448,0.0965,0.0544,0.0575,70.81.236.110,328607049,19,0,17,1,0,0,0,0
26507,329893699,1.0626,0.0348,0.0463,0.0805,0.0875,The Rambling Man,329898064,0,0,160,1,0,0,0,0
27734,329593294,1.1454,0.0257,0.0379,0.0532,0.0562,Milesli,329657239,12,0,0,0,0,Infinity,17,0
11820,327471623,1.1359,0.0634,0.1104,0.0708,0.0762,Mjroots,327472138,0,0,42,0,0,0,0,0
27312,327278971,1.0856,0.034,0.0888,0.0721,0.0777,Gunmetal Angel,327348561,8,0,116,1,0,0.0163549,16,0
14542,327501191,1.0456,0.1035,0.1256,0.0841,0.0918,Brasque3,327501314,0,0,0,0,0,0,10,0
41155,328880468,1.137,0.0528,0.1851,0.0979,0.1085,AnOrdinaryBoy,328880597,5,0,19,0,0,0.27009627,16,0
17589,329838075,1.1353,0.0378,0.082,0.0991,0.11,78.90.160.87,329873179,38,1,16,1,0,Infinity,52,0
13981,322958228,1.0846,0.0456,0.0665,0.0574,0.0609,FetchcommsAWB,329168562,0,0,100,0,0.019480519,Infinity,19,0
15960,327114818,1.0861,0.044,0.1003,0.0491,0.0516,99.150.147.126,327340579,162,1,0,1,0,0.57807416,10,0
41642,326001374,1.0895,0.0565,0.1172,0.1027,0.1144,SidP,326841459,0,0,167,0,0,0,11,0
35721,325233549,1.0795,0.0972,0.1254,0.1026,0.1143,Hu12,328437200,415,0,136,0,0,0,0,0
33919,325833847,1.1269,0.0484,0.1261,0.0828,0.0903,Geregen2,327022072,8,0,0,0,0,0.16038992,23,0
9408,324943164,1.1155,0.0784,0.1128,0.103,0.1147,Sorafune,328641656,252,0,30,0,0.018518519,Infinity,69,0
18422,327161646,1.1216,0.0902,0.1334,0.0677,0.0726,Pdeitiker,327162304,9,0,17,0,0,0.002274332,12,0
33340,327983254,1.0488,0.0306,0.062,0.0501,0.0528,SlimVirgin,327984441,85,0,6,0,0,Infinity,40,0
27429,328080319,1.1216,0.0275,0.0558,0.0477,0.0501,66.31.201.117,328885618,1,0,24,1,0.285714286,0.11526143,12,0
34731,327600185,1.1371,0.0519,0.1047,0.075,0.0811,68.121.252.156,327608922,35,0,0,1,0,0.020072056,11,0
42876,327162309,1.1159,0.0799,0.1198,0.0719,0.0774,71.163.200.33,328554105,4,0,35,1,0.022727273,0.012068149,17,0
25898,327034366,1.1015,0.0389,0.0632,0.0716,0.0771,Connormah,327330678,0,0,13,0,0,Infinity,13,0
22203,328635733,1.0916,0.0352,0.086,0.0837,0.0913,Leuko,328635745,28,0,125,0,0,7.15E-04,17,0
7340,326744019,1.1431,0.0496,0.0776,0.0724,0.0781,72.21.141.158,326744111,31,0,19,1,0,0.007597181,105,0
28436,327726912,1.0964,0.0118,0.0741,0.0573,0.0608,Hagemananya,327727446,2,0,21,0,0,0.27488896,9,0
23630,327462824,1.1175,0.0092,0.0228,0.0264,0.0271,Dawnseeker2000,327480171,51,0,114,0,0,0,0,0
18708,325173408,1.139,0.0366,0.0852,0.0596,0.0633,Ianblair23,328491973,34,0,56,0,0,Infinity,14,0
29902,327669393,1.0972,0.0638,0.1198,0.0878,0.0962,SlayerFlo66,327669438,0,0,0,0,0,0,0,0
17426,326497814,1.0892,0.0232,0.0482,0.0564,0.0598,Marek69,328503977,5,0,143,0,0,Infinity,11,0
29015,326891104,1.1359,0.047,0.1145,0.1099,0.1234,Newsingh,326905092,0,0,0,0,0,0,0,0
10524,272146255,1.1549,0.0065,0.0163,0.0431,0.045,125.160.196.87,328806117,82,0,13,1,0,Infinity,28,0
6419,328395730,1.1275,0.0583,0.1437,0.184,0.2254,Soccer-holic,328432358,43,0,32,1,0,Infinity,18,0
37518,318340144,1.1271,0.0201,0.0506,0.0895,0.0982,Colonies Chris,327779684,26,0,7,1,0,0,0,0
20866,313147015,1.1227,0.0291,0.0428,0.0759,0.0821,Kevinsam,329635244,1,0,46,0,0,Infinity,16,0
8128,148808594,1.1503,0.0143,0.0494,0.0903,0.0991,70.121.176.19,327541014,0,1,0,1,0,0,0,0
24810,328576919,1.1244,0.0591,0.1151,0.0757,0.0819,Clever Owl,328641620,447,1,23,1,0.03,Infinity,12,0
7174,328264939,1.0882,0.0502,0.0973,0.078,0.0846,4twenty42o,328265210,22,0,130,0,0,1.6690696,1,0
42626,328337334,1.1328,0.0412,0.0819,0.0724,0.0781,69.19.14.27,328653426,12,0,0,1,0,0.05531361,62,0
36314,326957789,1.0523,0.0701,0.1011,0.0815,0.0887,Rjwilmsi,327757877,12,0,79,0,0,0.002620152,76,0
13367,327416921,1.0875,0.0485,0.0962,0.0932,0.1028,71.104.218.17,327417027,2,0,20,1,0.016666667,0.25742698,10,0
31733,327981302,1.1468,0.0091,0.0254,0.0618,0.0659,69.19.14.35,328087468,4,0,10,1,0,0.3465736,4,0
10454,328301275,1.0786,0.0377,0.083,0.0523,0.0552,Woohookitty,328739408,14,0,169,0,0.005405405,0.1450125,102,0
30177,329935423,1.1263,0.0403,0.0815,0.066,0.0707,Paolo Belzoni,329935600,5,0,20,1,0,Infinity,52,0
38088,329780184,1.1499,0.0235,0.0368,0.0737,0.0795,174.17.122.208,329780469,8,0,15,1,0.071428571,Infinity,7,0
28359,324480710,1.1278,0.024,0.0725,0.071,0.0764,Lemmon Juice,327911759,14,0,55,1,0,Infinity,73,0
7721,324663303,1.1223,0.0859,0.1226,0.0786,0.0853,K8TEK,328286843,0,0,25,0,0,0.0433217,20,0
19619,328684669,1.1186,0.0419,0.1133,0.0866,0.0948,Captain Thoster,328684742,1,0,0,1,0,0.0464709,18,0
13387,296158712,1.0883,0.0879,0.1659,0.1191,0.1352,TheFarix,327159814,8,0,20,0,0,Infinity,27,0
12118,316966918,1.1027,0.0804,0.1194,0.0892,0.0979,Choster,326876685,36,0,15,0,0,Infinity,20,0
43249,329865435,1.085,0.1083,0.1401,0.118,0.1337,Sirlanz,329865612,62,0,67,0,0.076923077,Infinity,16,0
24014,325428987,1.1174,0.0061,0.0227,0.0789,0.0856,61.229.163.153,328567658,2,0,0,1,0,0.30108273,13,0
20727,323950273,1.1339,0.0867,0.1229,0.057,0.0604,Rich Farmbrough,327386971,8,0,95,1,0.019607843,0.11811291,86,0
18379,328477241,1.0987,0.04,0.0609,0.0716,0.0771,Aleksandr Grigoryev,328481743,23,0,23,1,0,Infinity,12,0
23379,328414337,1.132,0.0447,0.0847,0.0754,0.0815,Keith D,328447247,0,0,10,1,0,0.025303723,12,0
9773,316894184,1.1207,0.0198,0.0578,0.033,0.0341,78.251.203.51,328713662,37,1,41,1,0.03125,Infinity,13,0
13933,326101887,1.1232,0.0573,0.1156,0.0874,0.0958,Lavenderbunny,329175176,0,0,39,0,0.012121212,0,116,0
14999,329071326,1.1286,0.0256,0.0567,0.0668,0.0716,Doc9871,329215850,23,0,54,0,0,Infinity,9,0
24785,327526574,1.1256,0.0127,0.0386,0.0499,0.0526,67.176.88.83,327578993,34,1,21,1,0.0125,0.003821644,12,0
34693,327610615,1.1419,0.0858,0.2347,0.0986,0.1094,Night Time,327610647,3,0,13,1,0,0.010860045,21,0
4541,326765426,1.0683,0.0118,0.0395,0.0756,0.0817,Ryoske,326891983,77,0,173,0,0,0.067112096,10,0
37549,327391360,1.1307,0.023,0.0497,0.0333,0.0345,Drake144,327391546,3,0,21,0,0,3.87E-04,15,0
26400,328849492,1.0962,0.0105,0.0443,0.0382,0.0397,142.22.21.187,328849548,66,1,24,1,0.15,Infinity,11,0
29038,327273251,1.1394,0.0207,0.0432,0.0533,0.0563,Colorred,327274545,22,0,131,0,0,5.28E-04,18,0
12595,326228525,1.1224,0.0172,0.0327,0.0533,0.0563,Dmutchler,327544840,23,0,107,0,0.02173913,0.001921916,20,0
32292,328191260,1.1396,0.021,0.0507,0.0593,0.063,68.59.71.219,328220034,0,0,25,1,0,0,0,0
36169,329388358,1.1254,0.0117,0.0273,0.0586,0.0622,Southernsunil,329448865,0,0,25,0,0,0,0,0
20081,305351112,1.1354,0.0449,0.0683,0.102,0.1136,Breffni Whelan,327436071,49,0,20,1,0,Infinity,17,0
34894,327012568,1.1096,0.0192,0.043,0.0581,0.0617,79.177.133.165,327022748,24,0,0,1,0,0.5944381,9,0
26974,326965608,1.1313,0.0748,0.099,0.1176,0.1332,206.101.191.49,326965744,0,0,10,1,0,0.005411883,21,0
40163,329737243,1.122,0.0964,0.2012,0.1312,0.1509,216.93.146.229,329737364,1,0,131,1,0,0.01832871,8,0
29982,300268618,1.1138,0.0372,0.1141,0.1137,0.1283,Rich Farmbrough,329679102,14,0,109,1,0,Infinity,18,0
30830,328179528,1.1304,0.0316,0.0812,0.0774,0.0839,ARUNKUMAR P.R,328179643,4,0,126,1,0,Infinity,9,0
36281,327407632,1.1652,0.0246,0.0455,0.0475,0.0498,Saltysailor,327407861,0,0,0,0,0,0,0,0
10051,328945624,1.0869,0.0508,0.0843,0.0792,0.086,99.60.22.6,329114767,0,0,0,1,0,Infinity,13,0
28939,328338677,1.0879,0.0321,0.077,0.07,0.0752,Sodacan,328338954,0,0,11,0,0.004672897,2.27E-04,21,0
12399,329608421,1.1085,0.0046,0.042,0.4179,0.7177,UnitedStatesian,329813929,19,0,36,0,0,Infinity,8,0
40777,327212614,1.1496,0.0339,0.0613,0.0716,0.0771,Jwillbur,327218885,0,0,13,0,0,0,0,0
15043,327383956,1.1445,0.0377,0.0718,0.0281,0.0289,Paul Murray,327384074,17,0,55,1,0,Infinity,8,0
11916,258032360,1.1432,0.1095,0.2194,0.0387,0.0403,76.110.143.233,328142165,0,0,0,1,0,0,0,0
7370,317655701,1.1299,0.0628,0.1226,0.1366,0.1581,Tewapack,327605712,8,0,7,0,0,0.2612054,17,0
13631,327940784,1.1295,0.035,0.0478,0.074,0.0798,24.206.180.149,328055321,0,0,27,1,0,Infinity,17,0
27525,327843009,1.136,0.0372,0.0665,0.0796,0.0864,144.194.249.1,327851022,0,0,0,1,0,3.31E-04,49,0
1170,328238095,1.1358,0.0173,0.0289,0.0395,0.0412,Wikiklrsc,328445349,0,0,13,0,0,0,0,0
45662,328589315,1.1348,0.0244,0.0579,0.063,0.0672,P0mbal,328687462,149,0,158,0,0,0,0,0
26457,328351109,1.0932,0.0018,0.0151,0.1078,0.1208,Chris14888,328740452,1,0,11,0,0,Infinity,9,0
11997,327373590,1.1118,0.0147,0.0446,0.0501,0.0527,Jkm001,327373782,77,0,19,0,0,Infinity,14,0
36917,328311735,1.1404,0.0423,0.0923,0.0553,0.0586,Patken4,328439806,0,0,0,0,0,0,0,0
22236,323607455,1.1203,0.0085,0.0328,0.0445,0.0466,99.21.64.195,327327276,2,0,14,1,0,4.38E-05,18,0
39111,327060578,1.1305,0.0685,0.093,0.0856,0.0936,Thumbs08,329696254,4,0,13,0,0,0.28170058,69,0
29701,275135728,1.1079,0.0202,0.0765,0.0641,0.0684,Biglovinb,327327842,2,0,135,0,0.013157895,Infinity,33,0
10809,326861332,1.1265,0.0462,0.0783,0.0957,0.1058,24.105.129.160,326868579,33,0,21,1,0,Infinity,11,0
34981,325100349,1.1222,0.0443,0.0858,0.0738,0.0797,213.79.158.156,328430878,13,0,0,1,0,Infinity,13,0
21545,326724256,1.1153,0.051,0.1471,0.1335,0.154,Rich Farmbrough,329790629,9,0,61,1,0,Infinity,47,0
41439,329518725,1.0968,0.1554,0.1958,0.0991,0.1099,Aldaron,329521670,301,0,45,0,0,0.097161464,21,0
9973,295143279,1.1255,0.0446,0.084,0.0781,0.0846,Chris G,327081283,0,0,36,1,0.027027027,0.06955118,67,0
41877,317649142,1.1075,0.1273,0.1709,0.0718,0.0773,Rich Farmbrough,328787695,0,0,74,1,0,0,9,0
10897,281513727,1.1312,0.0503,0.0903,0.0932,0.1027,Zombie433,327753845,35,0,16,0,0,Infinity,16,0
9154,328057590,1.1224,0.0124,0.0718,0.2987,0.4249,RadioFan,328057683,35,0,94,0,0,Infinity,28,0
35923,41590565,1.249,0.2105,0.2632,0.1333,0.1429,GW Simulations,327113808,0,0,9,1,0,0,9,0
9956,327116298,1.0342,0.0451,0.0853,0.0635,0.0678,Nvw,327132868,1,0,58,0,0.020408163,1.82E-04,288,0
25,326956267,1.1153,0.0341,0.0575,0.0707,0.0761,Neo 14520,327863954,2,0,41,1,0,Infinity,16,0
35765,322531899,1.1437,0.0452,0.1148,0.0739,0.0798,Sandstein,328541477,5,0,27,0,0,Infinity,8,0
35529,328727699,1.0722,0.0468,0.1136,0.097,0.1075,68.194.175.233,328727860,0,0,0,1,0,0,2,0
25275,329018274,1.0775,0.0565,0.1938,0.0145,0.0147,AxelBoldt,329124998,65,0,92,0,0,Infinity,22,0
19950,328234747,1.0437,0.0233,0.0564,0.0691,0.0742,202.223.79.12,328369440,0,0,37,1,0,0,0,0
14780,318193607,1.0963,0.0564,0.0853,0.0892,0.0979,F,328204430,340,0,17,0,0,Infinity,99,0
33793,327891609,1.1333,0.0133,0.0459,0.071,0.0764,99.13.44.97,327891808,0,0,0,1,0,0,0,0
19565,328843240,1.106,0.0065,0.0152,0.1472,0.1726,Dr. Kaneeco,328843747,6,0,55,1,0,Infinity,19,0
15205,328028556,1.1343,0.018,0.0352,0.033,0.0342,Whitebox,328028936,27,0,0,0,0,Infinity,20,0
21471,299595732,1.1276,0.0368,0.0621,0.1178,0.1335,Rich Farmbrough,328532944,8,0,74,1,0,0.20816696,6,0
24378,327588281,1.1236,0.0835,0.1783,0.0561,0.0594,75.32.30.38,329594185,34,0,72,1,0,0.032600347,13,0
30381,317485598,1.1161,0.0089,0.0478,0.0696,0.0748,Phoe,327297619,27,0,119,0,0,0.002997463,17,0
5590,328684778,1.125,0.075,0.1053,0.1166,0.1319,71.213.141.20,329598197,0,0,0,1,0,Infinity,11,0
28273,327190878,1.0991,0.1309,0.1796,0.0946,0.1043,Rich Farmbrough,329515136,8,0,74,1,0,0.16624364,23,0
35161,329125905,1.0513,0.0278,0.0495,0.0752,0.0813,68.222.49.231,329600282,7,0,0,1,0,1.58E-04,55,0
21496,327297100,1.0767,0.0301,0.0732,0.0776,0.0841,Romaint,327929070,16,0,32,0,0,Infinity,15,0
26913,327709624,1.0347,0.0437,0.089,0.0665,0.0712,Shady19,327731332,252,0,0,0,0,0.03039854,80,0
12073,326788677,1.0603,0.018,0.067,0.0575,0.061,66.126.37.10,326788911,2,0,10,1,0,0,0,0
40045,328508543,1.1353,0.018,0.032,0.025,0.0256,71.175.180.239,328508681,6,0,26,1,0,Infinity,6,0
19088,327695883,1.1396,0.0235,0.0615,0.0637,0.068,Grapesoda22,327781998,82,0,16,0,0,Infinity,12,0
41352,328246899,1.1514,0.0481,0.0948,0.0852,0.0932,75.195.122.216,329963060,93,0,18,1,0,Infinity,12,0
14822,328780617,1.1388,0.0332,0.0706,0.0792,0.086,GMEF,328782258,63,0,127,0,0.013245033,0.12761,15,0
41132,327300800,1.1337,0.1311,0.3096,0.1408,0.1638,NWill,327301063,0,0,12,0,0,0,0,0
36645,329538860,1.133,0.0433,0.1291,0.1288,0.1478,Zenbride,329540713,8,0,0,0,0,Infinity,7,0
26308,328648985,1.1755,0.0078,0.0078,0.1085,0.1207,Ttonyb1,328652130,41,0,13,0,0.038461538,0.039344743,9,0
13562,323169089,1.1378,0.0771,0.1248,0.1093,0.1226,Tassedethe,328476738,13,0,169,0,0,Infinity,23,0
28428,327046614,1.1641,0.072,0.12,0.1306,0.1502,Adavidb,327094241,32,0,9,0,0,Infinity,18,0
36224,327939668,1.1106,0.0183,0.0412,0.0447,0.0468,Ginbot86,327975048,21,0,37,0,0,Infinity,18,0
26700,326834573,1.1313,0.0511,0.0774,0.1293,0.1485,122.108.36.130,326834827,4,0,12,1,0,0.04800079,26,0
38042,327671711,1.0907,0.0259,0.039,0.0546,0.0577,132.64.194.20,327862596,1,0,0,1,0,0.007591298,7,0
36950,327165912,1.0725,0.0848,0.128,0.0861,0.0942,86.165.158.233,327180655,0,0,0,1,0,Infinity,15,0
38744,327527383,1.1403,0.0471,0.1039,0.1267,0.1451,Ironfrat,328612255,0,0,25,0,0,0,16,0
7073,327401071,1.1397,0.0839,0.1216,0.1043,0.1165,67.212.30.69,328464440,14,0,25,1,0,Infinity,7,0
7770,323214211,1.0955,0.0458,0.0944,0.1055,0.1179,189.44.162.34,327964075,52,0,0,1,0,Infinity,11,0
18745,327357635,1.1044,0.0187,0.034,0.0687,0.0738,Buzzzsherman,327357853,25,0,24,0,0,Infinity,16,0
26278,329133891,1.1313,0.171,0.2439,0.1376,0.1595,Boomerang robert,329134377,29,0,0,1,0,Infinity,17,0
4706,327848903,1.1244,0.0648,0.0814,0.1246,0.1423,CatTown92,327848922,1,0,24,0,0,0.4790062,11,0
9682,329084949,1.1332,0.0288,0.0596,0.0746,0.0806,67.142.165.21,329116696,12,0,15,1,0,0.08485094,56,0
21811,324633661,1.1293,0.0833,0.1043,0.0682,0.0732,85.139.238.200,329262027,12,0,0,1,0,0.3354442,10,0
6623,314806859,1.2234,0.0316,0.0632,0.0782,0.0843,Nono64,329864101,1,0,7,0,0,0.019802628,12,0
19666,329398661,1.0507,0.0678,0.1016,0.0604,0.0643,99.156.206.25,329915016,21,1,20,1,0,Infinity,8,0
4472,329300729,1.152,0.0647,0.1245,0.0667,0.0714,67.182.78.24,329300945,25,0,29,1,0,0.024734601,18,0
19101,327385405,1.1387,0.0165,0.0307,0.0356,0.037,C.Fred,327385556,58,0,200,1,0.047619048,0.003841788,13,0
6197,327744603,1.144,0.0378,0.0599,0.0823,0.0897,Shoreranger,327744767,0,0,20,0,0,0.15990697,14,0
9658,329805426,1.0931,0.0287,0.0651,0.0767,0.0831,Beyond My Ken,329805488,2,0,20,1,0,0.018518023,8,0
103,328465611,1.1209,0.0425,0.0738,0.0462,0.0484,71.63.253.181,328521197,4,0,131,1,0,0.05317136,16,0
38808,327555900,1.1222,0.0318,0.0765,0.057,0.0604,98.204.143.38,327636795,1,0,29,1,0.00280112,9.84E-07,93,0
34584,328590725,1.1253,0.1331,0.1831,0.0925,0.1019,No such user,328760384,60,0,90,1,0,Infinity,17,0
18233,328556622,1.1162,0.0609,0.1312,0.076,0.0823,69.107.114.109,328560752,4,0,0,1,0.005555556,Infinity,87,0
33901,329561726,1.1381,0.0567,0.1015,0.0919,0.1012,Ikarus280,329595865,3,0,13,0,0,Infinity,12,0
13680,327327546,1.0845,0.0885,0.143,0.0668,0.0716,86.164.251.51,327327711,8,0,17,1,0,Infinity,13,0
285,328203452,1.1017,0.0214,0.0473,0.0573,0.0608,Zeorymer,328203632,150,0,44,0,0,Infinity,15,0
18150,328599814,1.1208,0.0823,0.1109,0.1004,0.1116,Laurinavicius,328606786,10,0,146,0,0.086956522,0.007817836,13,0
36744,326790148,1.095,0.027,0.0653,0.0773,0.0837,IrgoraJew,326820903,47,0,151,0,0,0.06478005,17,0
16125,324722009,1.1214,0.0198,0.0348,0.0661,0.0707,95.175.149.11,327958587,101,1,0,1,0,0.18426678,15,0
8822,325821495,1.0948,0.0296,0.0629,0.0694,0.0745,71.126.159.175,328435194,2,0,18,1,0.018518519,0.002277367,18,0
20133,321265013,1.1366,0.0382,0.0482,0.0582,0.0618,Robinsgn,329805565,0,0,58,0,0,0,0,0
32432,327416176,1.1457,0.0143,0.036,0.025,0.0257,24.63.132.189,327420202,4,0,0,1,0,0.53472,12,0
10557,321397488,1.1365,0.0307,0.0483,0.0931,0.1025,109.78.146.55,328062056,0,1,22,1,0,0,0,0
39158,328064503,1.1153,0.0227,0.0527,0.0463,0.0484,SpacemanSpiff,328067804,0,0,157,0,0,0,0,0
44417,328651503,1.1425,0.0235,0.0411,0.0489,0.0514,Urbanrenewal,328651650,24,0,88,0,0,Infinity,24,0
22335,328046251,1.094,0.0458,0.0849,0.0816,0.0888,Kierzek,328046409,1,0,131,0,0,0.006853347,19,0
18559,327557914,1.0954,0.1064,0.1636,0.1105,0.1243,Lafuzion,327559603,5,0,17,0,0,0.007204068,40,0
26185,329343427,1.0736,0.0236,0.056,0.0674,0.0723,24.63.168.222,329589785,188,0,25,1,0.009803922,0.008291242,84,0
